# Selection type :     patch outlet
# Faces  :             156
# Area   :             1.203167474789508e-03
# Time                 	areaAverage(U)
0.0000000000           	(0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)
0.0000099775           	(2.532814455434001e-16 -8.306402203230991e-16 -2.203845507472757e-15)
0.0000200221           	(-1.078418854918528e-14 2.446772717257266e-15 -3.599789372309197e-11)
0.0000300147           	(-2.780898497564303e-12 1.663400019764085e-13 4.621455530440339e-04)
0.0000399989           	(-7.807821037240764e-08 2.053267674165039e-09 5.016611612500251e-01)
0.0000500006           	(-8.560273883485082e-06 2.672510930373038e-07 4.169925958294744e+00)
0.0000599923           	(1.014810321968628e-05 1.581550120004718e-08 2.119794411723485e+01)
0.0000700081           	(-1.972599827681089e-05 1.727467429282346e-06 4.298930997220990e+01)
0.0000800073           	(-1.895676882661238e-06 2.188436045527535e-07 4.258010948736256e+01)
0.0000900086           	(-2.390484200459884e-06 4.131837103768750e-07 4.892879018789830e+01)
0.0001000042           	(5.763255445577312e-06 -3.816293049051953e-07 6.888823129773567e+01)
0.0001100002           	(-7.599297607081363e-07 -4.710663735025886e-07 8.684292247921348e+01)
